0,Название 0,1,2021-03-13,4,"Описание фильма =====1====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",7.9,static/img/posters/perech0.png,2
1,Название 1,1,2021-03-13,4,"Описание фильма =====1====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",7.9,static/img/posters/perech1.png,2
2,Название 2,2,2012-02-13,4,"Описание фильма =====2====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",7.3,static/img/posters/perech2.png,3
3,Название 3,2,2012-02-13,4,"Описание фильма =====3====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",3.2,static/img/posters/perech3.png,3
4,Название 4,3,2012-02-13,4,"Описание фильма =====4====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",7.9,static/img/posters/perech4.png,4
5,Название 5,3,2012-02-13,4,"Описание фильма =====5====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",4.9,static/img/posters/perech5.png,4
6,Название 6,4,2012-02-13,4,"Описание фильма =====6====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",5.9,static/img/posters/perech6.png,3
7,Название 7,4,2012-02-13,4,"Описание фильма =====7====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",7.5,static/img/posters/perech7.png,1
8,Название 8,4,2012-02-13,4,"Описание фильма =====8====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",7.0,static/img/posters/perech8.png,3
9,Название 9,2,2012-02-13,4,"Описание фильма =====9====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",4.1,static/img/posters/perech9.png,3
10,Название A,2,2012-02-13,4,"Описание фильма =====10====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",9.3,static/img/posters/perech10.png,2
11,Название B,3,2012-02-13,4,"Описание фильма =====11======  можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",9.1,static/img/posters/perech11.png,2
12,Название C,4,2012-02-13,4,"Описание фильма =====12======  можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",2.0,static/img/posters/perech12.png,2
13,Название D,2,2012-02-13,4,"Описание фильма =====13====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",1.1,static/img/posters/perech13.png,1
14,Название E,3,2012-02-13,4,"Описание фильма =====14====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",7.7,static/img/posters/perech14.png,1
15,фильм-ужастик5,3,2011-02-13,4,"фильм-ужастик =====5====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",7.9,static/img/posters/perech15.png,4
16,фильм-ужастик 6,4,2014-03-13,4,"Описание  фильм-ужастик фильма =====6====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",5.9,static/img/posters/perech16.png,3
17,фильм-ужастик7,4,2017-04-13,4,"Описание фильм-ужастик фильма =====7====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",4.5,static/img/posters/perech17.png,1
18,фильм-ужастик 8,4,2018-05-13,4,"Описание фильма фильм-ужастик=====8====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",5.0,static/img/posters/perech18.png,3
19,фильм-ужастик 9,2,2018-06-13,4,"Описание фильма =фильм-ужастик====9====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",5.1,static/img/posters/perech19.png,3
20,фильм-ужастик A,2,2015-07-13,4,"Описание фильма =фильм-ужастик====10====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",5.3,static/img/posters/perech20.png,2
21,Супер-Фильма 1,3,1902-02-13,4,"Описание фильма =====11======  можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",9.1,static/img/posters/perech21.png,2
22,Супер-Фильма 2,4,1902-02-13,1,"Описание фильма =====12======  можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",2.0,static/img/posters/perech22.png,2
23,Супер-Фильма 3,2,1902-02-13,1,"Описание фильма =====13====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",1.1,static/img/posters/perech23.png,1
24,Супер-Фильма 4,3,1902-02-13,1,"Описание фильма =====14====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",7.7,static/img/posters/perech24.png,1
25,Супер-Фильма 5,3,1901-02-13,4,"фильм-ужастик =====5====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",7.9,static/img/posters/perech25.png,4
26,Супер-Фильма 6,4,1904-03-13,1,"Описание  фильм-ужастик фильма =====6====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",5.9,static/img/posters/perech26.png,3
27,Супер-Фильма 7,4,1907-04-13,4,"Описание фильм-ужастик фильма =====7====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",4.5,static/img/posters/perech27.png,1
28,Супер-Фильма 8,4,1908-05-13,1,"Описание фильма фильм-ужастик=====8====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",5.0,static/img/posters/perech28.png,3
29,Супер-Фильма 9,2,1908-06-13,4,"Описание фильма =фильм-ужастик====9====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",5.1,static/img/posters/perech29.png,3
30,Фильма 0,2,2002-02-13,4,"Описание фильма =====10====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",9.3,static/img/posters/perech30.png,2
31,Фильма 1,3,2002-02-13,4,"Описание фильма =====11======  можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",9.1,static/img/posters/perech31.png,2
32,Фильма 2,4,2002-02-13,2,"Описание фильма =====12======  можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",2.0,static/img/posters/perech32.png,2
33,Фильма 3,2,2002-02-13,2,"Описание фильма =====13====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",1.1,static/img/posters/perech33.png,1
34,Фильма 4,3,2002-02-13,2,"Описание фильма =====14====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",7.7,static/img/posters/perech34.png,1
35,Фильма 5,3,2001-02-13,2,"фильм-ужастик =====5====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",7.9,static/img/posters/perech35.png,4
36,Фильма 6,4,2004-03-13,2,"Описание  фильм-ужастик фильма =====6====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",5.9,static/img/posters/perech36.png,3
37,Фильма 7,4,2007-04-13,3,"Описание фильм-ужастик фильма =====7====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",4.5,static/img/posters/perech37.png,1
38,Фильма 8,4,2008-05-13,3,"Описание фильма фильм-ужастик=====8====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",5.0,static/img/posters/perech38.png,3
39,Фильма 9,2,2008-06-13,3,"Описание фильма =фильм-ужастик====9====== можно многое рассказать об этом фильме... Здесь текст-болванка, - хотите редактируйте, а хотите - нет. В любом случае что-то написать нужно - вот и написано.",5.1,static/img/posters/perech39.png,3
